x,y,z,label,radius,curvature,torsion
119.839,88.6125,2.49131,6,2.3565,0.127766,0.0091432
119.721,88.2611,3.00296,6,2.34459,0.13979,0.0113057
119.571,87.9186,3.47349,6,2.39781,0.151806,0.014498
119.389,87.5843,3.90321,6,2.41277,0.163112,0.0189045
119.176,87.2579,4.29247,6,2.4318,0.172846,0.0244501
118.934,86.9387,4.64167,6,2.7887,0.180079,0.0312705
118.663,86.626,4.9513,6,2.89217,0.183968,0.0394298
118.364,86.319,5.22196,6,2.63729,0.183961,0.0477912
118.038,86.0168,5.45435,6,2.70357,0.179941,0.0558369
117.689,85.7184,5.64933,6,2.63979,0.172221,0.063525
117.316,85.4228,5.80793,6,2.73936,0.161446,0.0702449
116.923,85.1286,5.93141,6,2.7521,0.148408,0.07552
116.511,84.8349,6.02126,6,2.77212,0.133883,0.0798662
116.082,84.5404,6.07931,6,2.80008,0.118544,0.0843
115.638,84.2439,6.10773,6,2.8999,0.103067,0.0902946
115.182,83.9444,6.10904,6,2.84759,0.0880212,0.098719
114.715,83.6408,6.08607,6,2.73557,0.0737672,0.111016
114.239,83.3322,6.04192,6,2.70546,0.0604913,0.131111
113.757,83.0179,5.97992,6,2.67701,0.0482782,0.166163
113.27,82.6974,5.9036,6,2.76001,0.0372485,0.231408
112.779,82.3701,5.81664,6,2.92377,0.0277503,0.360393
112.286,82.0358,5.72288,6,2.75274,0.0208062,0.584445
111.792,81.6946,5.62624,6,2.74502,0.0185082,0.712852
111.298,81.3466,5.5307,6,2.65995,0.0218205,0.521961
110.805,80.9922,5.44025,6,2.59492,0.0285957,0.320045
110.313,80.6321,5.35886,6,2.66902,0.0367654,0.208291
109.822,80.267,5.29037,6,2.70513,0.0453688,0.148799
109.333,79.8981,5.23845,6,2.59757,0.0539802,0.11274
108.847,79.5264,5.20652,6,2.69684,0.0623784,0.0877832
108.364,79.1535,5.19775,6,2.72237,0.0703709,0.0686018
107.883,78.7806,5.21496,6,2.82885,0.0777561,0.0535619
107.405,78.4092,5.26062,6,2.85849,0.0843237,0.0418004
106.932,78.0407,5.33681,6,2.92636,0.0898783,0.0319359
106.462,77.6768,5.44517,6,2.81208,0.0942674,0.0235306
105.999,77.3187,5.58683,6,2.88182,0.0974695,0.0172878
105.541,76.968,5.76246,6,2.84492,0.0995678,0.0126409
105.092,76.626,5.97225,6,2.77832,0.100699,0.00924899
104.652,76.2943,6.21591,6,2.8686,0.101063,0.00786313
104.222,75.9741,6.49274,6,2.85407,0.100904,0.00865336
103.805,75.6669,6.8016,6,2.99431,0.100458,0.0116084
103.401,75.3742,7.14103,6,3.0129,0.0999514,0.0163807
103.013,75.0973,7.50925,6,3.02855,0.0996124,0.0226031
102.642,74.8378,7.90424,6,2.97482,0.0995997,0.0302804
102.289,74.5972,8.32386,6,3.06044,0.0999794,0.0389496
101.955,74.3768,8.7659,6,2.98139,0.100748,0.0471035
101.64,74.1782,9.22817,6,3.03714,0.101857,0.0545075
101.346,74.0029,9.70854,6,3.44444,0.103205,0.0608845
101.072,73.8522,10.205,6,3.27507,0.104614,0.0640786
100.818,73.7275,10.7158,6,3.05672,0.105826,0.0635723
100.583,73.63,11.2392,6,3.07182,0.106561,0.0595431
100.368,73.5606,11.7738,6,3.25318,0.106509,0.0519725
100.172,73.5201,12.3181,6,3.05116,0.105255,0.0409402
99.9945,73.5087,12.8712,6,3.13207,0.102424,0.0263983
99.834,73.5263,13.4319,6,3.11122,0.0977579,0.00873112
99.6904,73.572,13.9992,6,3.12202,0.0912396,-0.00980696
99.5628,73.6444,14.5722,6,3.03342,0.0830421,-0.0311896
99.4505,73.7412,15.15,6,3.3183,0.0734119,-0.0595467
99.3528,73.8596,15.7315,6,3.04628,0.0625854,-0.104476
99.2688,73.9959,16.3155,6,3.02813,0.0508364,-0.189502
99.1977,74.1458,16.9008,6,3.02369,0.0389653,-0.377561
99.1383,74.304,17.4857,6,2.97447,0.0299696,-0.731045
99.0894,74.4644,18.0681,6,2.98178,0.0311607,-0.76167
99.0498,74.6202,18.6456,6,2.92885,0.0450491,-0.413646
99.018,74.7642,19.2157,6,3.09377,0.0668456,-0.218414
98.9923,74.8891,19.7754,6,3.06059,0.094149,-0.132075
98.9711,74.9876,20.3214,6,2.92717,0.126658,-0.0904096
98.9527,75.0527,20.8504,6,2.95748,0.164544,-0.0682506
98.9354,75.078,21.3591,6,3.27552,0.207515,-0.0552096
98.9175,75.0577,21.844,6,2.77121,0.253809,-0.0466783
98.8974,74.9872,22.3022,6,3.24829,0.298967,-0.0403572
98.8736,74.8625,22.7308,6,2.90898,0.335259,-0.0349801
98.845,74.6814,23.1275,6,3.09073,0.353158,-0.0300148
98.8104,74.4428,23.4907,6,3.10642,0.346141,-0.0254316
98.7691,74.1474,23.8199,6,3.07329,0.315095,-0.0218307
98.7209,73.7979,24.1157,6,3.00677,0.268773,-0.0202758
98.6656,73.3985,24.3798,6,3.24353,0.217369,-0.0210811
98.6035,72.9553,24.6151,6,2.9968,0.167461,-0.0253987
98.5351,72.4754,24.8256,6,2.94874,0.121728,-0.0369395
98.4611,71.9671,25.0161,6,3.11867,0.080325,-0.070779
98.3824,71.4392,25.192,6,3.42705,0.0423044,-0.231679
98.3,70.9015,25.3594,6,3.40961,0.0103459,-3.77679
98.2151,70.364,25.5246,6,3.23698,0.035106,-0.344881
98.1287,69.8367,25.6941,6,3.44187,0.0747355,-0.0882787
98.0424,69.3297,25.8742,6,3.48073,0.119613,-0.0450593
97.9576,68.8528,26.0704,6,3.7746,0.171603,-0.0327092
97.8758,68.4148,26.288,6,3.43338,0.232261,-0.0300373
97.7987,68.024,26.5308,6,2.81923,0.301021,-0.0324858
97.7281,67.6873,26.8021,6,2.27666,0.372967,-0.0382577
97.6659,67.4101,27.1037,6,1.87309,0.436611,-0.0465557
97.614,67.1966,27.4363,6,2.15339,0.474621,-0.0566182
97.5745,67.049,27.7996,6,2.82411,0.473321,-0.066373
97.5494,66.9681,28.1926,6,2.84734,0.434626,-0.0739819
97.5406,66.9529,28.6133,6,2.60505,0.373773,-0.0800184
97.5501,67.0006,29.0591,6,2.5328,0.307513,-0.0859613
97.5795,67.1075,29.5272,6,2.50762,0.246492,-0.0930927
97.6305,67.2683,30.0144,6,2.45742,0.194903,-0.103282
97.7044,67.4768,30.5174,6,2.49396,0.153108,-0.118674
97.8023,67.7262,31.0332,6,2.51513,0.120051,-0.141854
97.925,68.0088,31.5586,6,2.45929,0.0945565,-0.174276
98.0728,68.317,32.0908,6,2.48994,0.0757515,-0.213487
98.2461,68.643,32.6272,6,2.38535,0.0630909,-0.24969
98.4447,68.9793,33.1653,6,2.41769,0.0560915,-0.264051
98.6682,69.3188,33.7029,6,2.37133,0.0540426,-0.241734
98.9162,69.655,34.2381,6,2.40135,0.055734,-0.193823
99.1878,69.982,34.7689,6,2.36241,0.0598472,-0.142658
99.4821,70.2947,35.2934,6,2.4233,0.0653954,-0.0977342
99.7982,70.5886,35.8098,6,2.32249,0.0717497,-0.0601412
100.135,70.8602,36.316,6,2.41614,0.0785557,-0.0304647
100.491,71.1063,36.81,6,2.33278,0.0856625,-0.00648843
100.867,71.3248,37.2895,6,2.32966,0.0930506,0.0140501
101.26,71.5139,37.752,6,2.33408,0.100755,0.031167
101.669,71.6727,38.1948,6,2.31682,0.108716,0.0445156
102.095,71.8004,38.6153,6,2.31691,0.11681,0.0548008
102.537,71.897,39.0107,6,2.35292,0.124841,0.062174
102.993,71.9627,39.3781,6,2.31825,0.132473,0.0660953
103.463,71.9982,39.7148,6,2.31825,0.13922,0.0667823
